a	c
unbecomingness	'ʌnbi'kʌmiɳnis
unbefitting	'ʌnbi'fitiɳ
unbefriended	'ʌnbi'frendid
unbegotten	'ʌnbi'gɔtn
unbeknown	'ʌnbi'noun
unbelief	'ʌnbi'li:f
unbelievable	,ʌnbi'li:və
unbeliever	'ʌnbi'li:və
unbelieving	'ʌnbi'li:viɳ
unbeloved	'ʌnbi'lʌvd
unbelt	'ʌn'belt
unbend	'ʌn'bend
unbending	'ʌn'bendiɳ
unbendingness	'ʌn'bendiɳnis
unbeneficial	'ʌnbeni'fiʃəl
unbenefited	'ʌn'benifitid
unbent	'ʌn'bend
unbesought	'ʌnbi'sɔ:t
unbespoken	'ʌnbi'spoukn
unbesseming	'ʌnbi'si:miɳ
unbias	'ʌn'baiəs
unbiased	'ʌn'baiəst
unbiassed	'ʌn'baiəst
unbiblical	'ʌn'biblikəl
unbidden	'ʌn'bidn
unbigoted	'ʌn'baind
unbind	'ʌn'baind
unbirthday	'ʌn'bə:θdei
unblamable	'ʌn'bleiməbl
unbleached	ʌn'bli:tʃt
unblemished	'ʌn'blemiʃt
unblended	'ʌn'blendid
unblest	'ʌn'blest
unblighted	'ʌn'blaitid
unblindfold	'ʌn'blaindfould
unblock	'ʌn'blɔk
unblooded	'ʌn'blʌdid
unbloody	'ʌn'blʌdi
unblown	'ʌn'bown
unblushing	ʌn'blʌʃiɳ
unbodied	'ʌn'bɔdid
unbolt	'ʌn'boult
unbookish	'ʌn'bukiʃ
unbooted	'ʌn'bu:tid
unborn	'ʌn'bɔ:n
unborrowed	'ʌn'boroud
unbosom	ʌn'buzəm
unbound	'ʌn'baund
unbounded	'ʌn'baundid
unboundedness	'ʌn'baundidnis
unbowed	'ʌn'baud
unbox	'ʌn'bɔks
unbrace	'ʌn'breis
unbraced	'ʌn'breist
unbraid	'ʌn'breid
unbreakable	'ʌn'breikəbl
unbreathable	'ʌn'bri:ðəbl
unbred	'ʌn'bred
unbreech	'ʌn'bri:tʃ
unbribable	'ʌn'braibəbl
unbribed	'ʌn'braibd
unbridle	'ʌn'braidl
unbridled	ʌn'braidld
unbroached	'ʌn'broutʃt
unbroken	'ʌn'broukən
unbrokenness	'ʌn'broukənnis
unbrotherly	'ʌn'brʌðəli
unbruised	'ʌn'bru:zd
unbuckle	'ʌn'bʌkl
unbuild	'ʌn'bild
unbuilt	'ʌn'bild
unbung	'ʌn'bʌɳ
unburden	ɳn'bə:dn
unburied	'ʌn'berid
unburned	'ʌn'bə:nd
unburnt	'ʌn'bə:nd
unbury	'ʌn'beri
unbusinesslike	ʌn'biznislaik
unbutton	'ʌn'bʌtn
unbuttoned	'ʌn'bʌtnd
uncalled	'ʌn'kɔ:ld
uncancelled	'ʌn'kænsəld
uncandid	'ʌn'kændid
uncandidness	'ʌn'kændidnis
uncanniness	ʌn'kæninis
uncanny	ʌn'kæni
uncarpeted	'ʌn'kɑ:pitid
uncart	'ʌn'kɑ:t
uncase	'ʌn'keis
uncastrated	'ʌn'kætəlɔgd
uncatalogued	'ʌn'kætəlɔgd
uncate	'ʌnsinit
uncaught	'ʌnkeit
uncaused	'ʌn'kɔ:t
uncauterized	'ʌn'kɔ:təraizd
unceasing	ʌn'si:siɳ
uncelebrated	'ʌn'selibreitid
uncensored	'ʌn'sensəd
uncensured	'ʌn'senʃəd
unceremonious	'ʌn,seri'mounjəs
unceremoniousness	'ʌn,seri'mounjəsnis
uncertain	ʌn'sə:tn
uncertainly	ʌn'sə:tnli
uncertainty	ʌn'sə:tnti
uncertificated	'ʌnsə'tifikeitid
uncertified	'ʌn'sə:tifaid
unchain	'ʌn'tʃein
unchallengeable	'ʌn'tʃælindʤəbl
unchallenged	'ʌn'tʃælindʤd
unchancy	'ʌn'tʃɑ:nsi
unchangeable	ʌn'tʃeindʤəbl
unchangeableness	ʌn'tʃeindʤəblnis
unchanged	'ʌn'tʃeindʤd
unchanging	ʌn'tʃeindʤiɳ
uncharged	'ʌn'tʃɑ:dʤd
uncharitable	ʌn'tʃæritəbl
uncharted	'ʌn'tʃɑ:tid
unchartered	'ʌn'tʃɑ:təd
unchaste	'ʌn'tʃeist
unchastised	'ʌntʃæs'taizd
unchastity	'ʌn'tʃæstiti
uncheckable	'ʌn'tʃekəbl
unchecked	'ʌn'tʃekt
unchiselled	'ʌn'tʃizld
unchivalrous	'ʌn'ʃivəlrəs
unchoke	'ʌn'tʃouk
unchristened	'ʌn'krisnd
unchristian	'ʌn'kristjən
unchristianise	'ʌn'kristjənaiz
unchristianize	'ʌn'kristjənaiz
unchurch	'ʌn'tʃə:tʃ
uncinate	'ʌnsinit
uncircumcised	'ʌn'sə:kəmsaizd
uncivil	'ʌn'sivl
uncivilized	'ʌn'sivilaizd
unclad	'ʌn'klæd
unclaimed	'ʌn'kleimd
unclasp	'ʌn'klɑ:sp
unclassical	'ʌn'klæsikəl
unclassifiable	'ʌn'klæsifaiəbl
unclassified	'ʌn'klæsifaid
uncle	'ʌɳkl
unclean	'ʌn'kli:n
uncleanable	'ʌn'kli:nəbl
uncleanness	'ʌn'kli:nnis
uncleansed	'ʌn'klenzd
unclear	'ʌn'kliə
uncleared	'ʌn'kliəd
unclench	'ʌn'klentʃ
unclerical	'ʌn'klerikəl
unclick	'ʌn'klik
unclimbable	'ʌn'klaiməbl
unclipped	'ʌn'klipt
uncloak	'ʌn'klouk
unclose	'ʌn'klouz
unclothe	'ʌn'klouð
unclothed	'ʌn'klouðd
unclouded	'ʌn'klaudid
unco	'ʌɳkou
uncock	'ʌn'kɔk
uncog	'ʌn'kɔg
uncoil	'ʌn'kɔil
uncoined	'ʌn'kɔind
uncollected	'ʌnkə'lektid
uncoloured	'ʌn'koumd
uncombed	'ʌnkʌm'ætəbl
uncomely	'ʌn'kʌmli
uncomfortable	ʌn'kʌmfətəbl
uncomfortableness	ʌn'kʌmfətəblnis
uncommercial	'ʌnkə'mə:ʃəl
uncommissioned	'ʌnkə'miʃnd
uncommitted	'ʌnkə'mitid
uncommon	ʌn'kɔmən
uncommonicative	'ʌnkə'mju:nikətiv
uncommonicativeness	'ʌnkə'mju:nikətivnis
uncompainionable	'ʌnkəm'pænjənəbl
uncompensated	'ʌn'kɔmpenseitid
uncomplaining	'ʌnkəm'pleiniɳ
uncomplainingness	'ʌnkəm'pleiniɳnis
uncomplaisant	'ʌnkəm'pleizənt
uncompleted	'ʌnkəm'pli:tid
uncomplicated	'ʌn'kɔmplikeitid
uncomplimentary	'ʌn,kɔmpli'mentəri
uncompounded	'ʌnkəm'paundid
uncompromising	ʌn'kɔmprəmaiziɳ
unconcealed	'ʌnkən'si:ld
unconcern	'ʌnkən'sə:n
unconcerned	'ʌnkən'sə:nd
unconclusive	'ʌnkən'klu:siv
uncondemned	'ʌnkən'demd
uncondensed	'ʌnkən'denst
unconditional	'ʌnkən'diʃənl
unconditioned	'ʌn,kən'diʃnd
unconfessed	'ʌnkən'fest
unconfined	'ʌnkən'faind
unconfirmed	'ʌnkən'fə:md
unconformable	'ʌnkən'fɔ:məbl
unconformableness	'ʌnkən'fɔ:məblnis
unconformity	'ʌnkən'fɔ:miti
uncongealable	'ʌnkən'dʤi:ləbl
uncongenial	'ʌnkən'dʤi:njəl
unconnected	'ʌnkə'nektid
unconquerable	'ʌn'kɔɳkərəbl
unconquered	'ʌn'kɔɳkəd
unconscientious	'ʌn,kɔnʃi'enʃəs
unconscientiousness	'ʌn,kɔnʃi'enʃəsnis
unconscionable	ʌn'kɔnʃnəbl
unconscionableness	ʌn'kɔnʃnəblnis
unconscious	ʌn'kɔnʃəs
unconsciousness	ʌn'kɔnʃəsnis
unconsecrated	'ʌn'kɔnsikreitid
unconsenting	'ʌnkən'sentiɳ
unconsidered	'ʌnkən'sidəd
unconsolable	'ʌnkən'souləbl
unconsoled	'ʌnkən'sould
unconsolidated	'ʌnkən'sɔlideitid
unconstitutional	'ʌn,kɔnsti'tju:ʃənl
unconstrained	'ʌnkən'streind
unconstraint	'ʌnkən'streint
unconsumed	'ʌnkən'sju:md
uncontainable	'ʌnkən'teinəbl
uncontaminated	'ʌnkən'tæmineitid
uncontemplated	'ʌn'kɔntempleitid
uncontested	'ʌnkən'testid
uncontinuous	'ʌnkən'tinjuəs
uncontracted	'ʌnkən'træktid
uncontradictable	'ʌn,kɔntrə'diktəbl
uncontradicted	'ʌn,kɔntrə'diktid
uncontrite	'ʌn'kɔntrait
uncontrollable	,ʌnkən'trouləbl
uncontrollableness	,ʌnkən'trouləblnis
uncontrolled	'ʌnkən'trould
uncontroversial	'ʌn,kɔntrə'və:ʃəl
uncontroverted	'ʌn'kɔntrəvə:tid
uncontrovertible	'ʌn'kɔntrəvə:təbl
unconventional	'ʌnkən'venʃənl
unconventionality	'ʌnkən,venʃə'næliti
unconversable	'ʌnkən'və:səbl
unconversant	'ʌnkən'və:sənt
unconverted	'ʌnkən'və:tid
unconvertible	'ʌnkən'və:təbl
unconvicted	'ʌnkən'viktid
unconvinced	'ʌnkən'vinst
unconvincing	'ʌnkən'vinsiɳ
uncooked	'ʌn'kukt
uncoop	'ʌn'ku:p
uncord	'ʌn'kɔ:d
uncork	'ʌn'kɔ:k
uncorrected	'ʌnkə'rektid
uncorroborated	'ʌnkə'rɔbəreitid
uncorrupted	'ʌnkə'rʌptid
uncountable	'ʌn'kauntəbl
uncounted	'ʌn'kauntid
uncountenanced	'ʌn'kauntinənst
uncouple	'ʌn'kʌpt
uncourteous	'ʌn'kə:tjəs
uncourtly	'ʌn'kɔ:tli
uncouth	ʌn'ku:θ
uncouthness	ʌn'ku:θnis
uncovenanted	'ʌn'kʌvinəntid
uncover	ʌn'kʌvə
uncovered	ʌn'kʌvəd
uncoveted	'ʌn'kreditid
uncreasable	'ʌn'kri:səbl
uncreated	'ʌnkri:'eitid
uncredited	'ʌn'kreditid
uncritical	'ʌn'kritikəl
uncropped	'ʌn'krɔpt
uncross	'ʌn'krɔs
uncrossable	'ʌn'krɔsəbl
uncrossed	'ʌn'krɔst
uncrowded	'ʌn'kraudid
uncrown	'ʌn'kraun
uncrowned	'ʌn'kraund
uncrushable	'ʌn'krʌʃəbl
uncrystallizable	'ʌn'kristəlaizəbl
unction	'ʌɳkʃn
unctousity	,ʌɳktju'ɔsiti
unctuous	'ʌɳtjuəs
unculled	'ʌn'kʌld
uncultivable	'ʌn'kʌltivəbl
uncultured	'ʌn'kʌltʃəd
uncurb	'ʌn'kə:b
uncurbed	'ʌn'kə:bd
uncured	'ʌn'kjuəd
uncurl	'ʌn'kə:l
uncurtailed	'ʌnkə:'teild
uncurtained	'ʌn'kə:tnd
uncushioned	'ʌn'kuʃnd
uncustomary	'ʌn'kʌstəməri
uncustomed	'ʌn'kʌstəmd
uncut	'ʌn'kʌt
undamaged	'ʌn'dæmidʤd
undamped	'ʌn'dæmpt
undated	'ʌn'deitid
undauntable	'ʌn'dɔ:ntəbl
undaunted	'ʌn'dɔ:ntid
undauntedness	'ʌn'dɔ:ntidnis
undebarred	'ʌndi'bɑ:d
undebatable	'ʌndi'beitəbl
undebated	'ʌndi'beitid
undecagon	ʌn'dekəgən
undecaying	'ʌndi'keiiɳ
undeceive	'ʌndi'si:v
undeceived	'ʌndi'si:vd
undecennial	,ʌndi'senjəl
undecided	'ʌndi'saidid
undecipherable	'ʌndi'saifərəbl
undeciphered	'ʌndi'saifəd
undecisive	'ʌndi'saisiv
undecked	'ʌn'dekt
undecomposable	'ʌn,di:kəm'pouzəbl
undefaced	'ʌndi'feist
undefeated	'ʌndi'fi:tid
undefended	'ʌndi'fendid
undefensible	'ʌndi'fensəbl
undefiled	'ʌndi'faild
undefinable	,ʌndi'fainəbl
undefined	,ʌndi'faind
undeliberated	'ʌndi'libəreitid
undeliverable	'ʌndi'livərəbl
undelivered	'ʌndi'livəd
undemonstrable	'ʌn'demənstrəbl
undemonstrated	'ʌn'demənstreitid
undemonstrative	'ʌndi'mɔnstrətiv
undeniable	,ʌndi'naiəbl
undenominational	'ʌndi,nɔmi'neiʃənl
undenounced	'ʌndi'naunst
undependable	'ʌndi'pendəbl
undeplored	'ʌndi'plɔ:d
undeposed	'ʌndi'pouzd
undepraved	'ʌndi'preivd
undepreciated	'ʌndi'pri:ʃieitid
undepressed	'ʌndi'prest
under	'ʌndə
underact	'ʌndər'ækt
underbade	'ʌndə'bid
underbid	'ʌndə'bid
underbidden	'ʌndə'bid
underbought	'ʌndə'bai
underbred	'ʌndə'bred
underbrush	'ʌndəbrʌʃ
underbuy	'ʌndə'bai
undercarriage	'ʌndə,kæridʤ
undercharge	'ʌndə,kæridʤ
underclad	'ʌndə'klæd
underclay	'ʌndəklei
underclothes	'ʌndəklouðz
underclothing	'ʌndəklouðz
undercoat	'ʌndəkout
undercover	'ʌndə,kʌvə
undercroft	'ʌndəkrɔft
undercurrent	'ʌndə,kʌrənt
undercut	'ʌndəkʌt
underdeveloped	'ʌndədi'veləpt
underdid	'ʌndə:du:
underdo	'ʌndə:du:
underdog	'ʌndədɔg
underdone	'ʌndə'dʌn
underdose	'ʌndədous
underdrain	'ʌndədrein
underdressed	'ʌndə'drest
underemployment	'ʌndərim'plɔimənt
underestimate	'ʌndər'estimeit
underestimation	'ʌndər,esti'meiʃn
underexpose	'ʌndəriks'pouz
underexposed	'ʌndəriks'pouzd
underexposure	'ʌndəriks'pouʤə
underfed	'ʌndə'fi:d
underfeed	'ʌndə'fi:d
underfired	'ʌndə'faiəd
underfoot	'ʌndə'fut
undergarment	'ʌndə,gɑ:mənt
undergo	,ʌndə'gou
undergone	,ʌndə'gou
undergraduate	,ʌndə'grædjuit
underground	'ʌndəgraund
undergrown	'ʌndə'groun
undergrowth	'ʌndə'grouθ
underhand	'ʌndəhænd
underhanded	,ʌndə'hændid
underhung	'ʌndə'hʌɳ
underlaid	,ʌndə'lei
underlain	'ʌndəlain
underlay	,ʌndə'lei
underlet	'ʌndə'let
underletter	'ʌndə'letə
underlie	'ʌndəlain
underline	'ʌndəlain
underlinen	'ʌndə,linin
underling	'ʌndəliɳ
underload	'ʌndə'loud
underlying	,ʌndə'laiiɳ
undermanned	'ʌndə'mænd
undermasted	'ʌndə'mɑ:stid
undermentioned	'ʌndə'menʃnd
undermine	,ʌndə'main
undermost	'ʌndəmoust
underneath	,ʌndə'ni:θ
underpaid	'ʌndə'pei
underpart	'ʌndəpɑ:t
underpass	'ʌndəpɑ:s
underpay	'ʌndə'pei
underpeopled	,ʌndə'pi:pld
underpin	,ʌndə'pin
underpinning	,ʌndə'piniɳ
underplay	'ʌndə'plei
underplot	'ʌndəplɔt
underpopulated	'ʌndə'pɔpjuleitid
underprivileged	'ʌndə'privilidʤd
underproduce	'ʌndəprə'dju:s
underproduction	'ʌndəprə'dʌkʃn
underproof	'ʌndə'pru:f
underprop	,ʌndə'prɔp
underquote	'ʌndə'kwout
underran	'ʌndə'rʌn
underrate	,ʌndə'reit
underreckon	'ʌndə'reit
underripe	'ʌndə'rekən
underrun	'ʌndə'rʌn
underscore	'ʌndəlain
undersea	'ʌndəsi:
underseas	'ʌndəsi:
undersell	'ʌndə'sel
underseller	'ʌndə'selə
underset	'ʌndəset
undershirt	'ʌndəʃə:t
undershot	'ʌndəʃɔt
undershrub	'ʌndəʃrʌb
underside	'ʌndəsaid
undersign	,ʌndə'saind
undersigned	,ʌndə'saind
undersized	'ʌndə'saizd
underskirt	'ʌndəskə:t
undersleeve	'ʌndəsli:v
undersoil	'ʌndəsɔil
undersold	'ʌndə'sel
understand	,ʌndə'stænd
understandable	,ʌndə'stændəbl
understanding	,ʌndə'stændiɳ
understate	'ʌndə'steit
understatement	'ʌndə'steitmənt
understock	'ʌndə'stɔk
understood	,ʌndə'stænd
understrapper	'ʌndə,stræpə
understratum	'ʌndə'strɑ:təm
understroke	'ʌndə'strouk
understudy	'ʌndə,stʌdi
undertake	,ʌndə'teik
undertaken	,ʌndə'teik
undertaker	,ʌndə'teikə
undertaking	,ʌndə'teikiɳ
undertenancy	'sʌb'tenənsi
undertenant	'sʌb'tenənt
undertint	'ʌndətint
undertone	'ʌndətoun
undertook	,ʌndə'teik
undertow	'ʌndətou
undervaluation	'ʌndə,vælju'eiʃn
undervalue	'ʌndə'vælju:
undervest	'ʌndəvest
underwater	'ʌndə,wɔ:tə
underwear	'ʌndəweə
underweight	'ʌndə'weit
underwent	,ʌndə'gou
underwood	'ʌndəbrʌʃ
underworld	'ʌndəwə:ld
underwrite	'ʌndərait
underwriter	'ʌndə,raitə
underwritten	'ʌndərait
underwrote	'ʌndərait
undescribable	'ʌndis'kraibəbl
undescried	'ʌndis'kraid
undeserved	'ʌndi'zə:vd
undeserving	'ʌbdi'zə:viɳ
undesignated	'ʌn'dezigneitid
undesigned	'ʌndi'zaind
undesirability	'ʌndi,zaiərə'biliti
undesirable	'ʌndi'zaiərəbl
undesired	'ʌndi'zaiəd
undesirous	'ʌndi'zaiərəs
undespairing	'ʌndis'peəriɳ
undestroyed	'ʌndis'trɔid
undetachable	'ʌndi'tætʃəbl
undetected	'ʌndi'tektid
undetermined	'ʌndi'tə:mind
undeterred	'ʌndi'tə:d
undeveloped	'ʌndi'veləpt
undeviating	ʌn'di:vieitiɳ
undid	'ʌn'du:
undies	'ʌndiz
undiffused	'ʌndi'fju:zd
undigested	'ʌndi'dʤestid
undignified	'ʌn'dignifaid
undiluted	'ʌndai'lju:tid
undiminished	'ʌndi'mimiʃt
undimmed	'ʌn'dimd
undine	'ʌndi:n
undiplomatic	'ʌn,diplə'mætik
undirected	'ʌndi'rektid
undiscernible	'ʌndi'sə:nəbl
undiscerning	'ʌndi'sə:niɳ
undischarged	'ʌndis'tʃɑ:dʤd
undisciplined	ʌn'disiplind
undisclosed	'ʌndis'klouzd
undiscomfited	'ʌndis'kʌmfitid
undisconcerted	'ʌn,diskən'sə:tid
undiscountable	'ʌndis'kauntəbl
undiscouraged	'ʌndis'kʌridʤd
undiscoverable	'ʌndis'kauntəbl
undiscovered	'ʌndis'kʌvəd
undiscriminating	'ʌndis'krimineitiɳ
undiscussed	'ʌndis'kʌst
undisguised	'ʌndis'kʌst
undismayed	'ʌndis'meid
undispelled	'ʌndis'peld
undispersed	'ʌndis'pə:st
undisplayed	'ʌndis'pleid
undisposed	'ʌndis'pouzd
undisputed	'ʌndis'pju:tid
undissected	'ʌndi'sektid
undissembled	'ʌndi'sembld
undissembling	'ʌndi'sembliɳ
undisseverable	'ʌndis'sevərəbl
undissolvable	'ʌndi'zɔlvəbl
undissolved	'ʌndi'zɔlvd
undistinguishable	'ʌndis'tiɳgwiʃəbl
undistinguished	'ʌndis'tiɳwiʃt
undistorted	'ʌndis'tɔ:tid
undistracted	'ʌndis'træktid
undistressed	'ʌndis'trest
undistributed	'ʌndis'tribjutid
undisturbed	'ʌndis'tə:bd
undiversified	'ʌndai'və:sifaid
undiverted	'ʌndai'və:tid
undivided	'ʌndi'vaidid
undivorced	'ʌndi'vɔ:st
undivulged	'ʌndai'vʌldʤd
undo	'ʌn'du:
undoable	'ʌn'du:əbl
undock	'ʌn'dɔk
undoing	'ʌn'du:iɳ
undomesticated	'ʌndə'mestikeitid
undone	'ʌn'dʌn
undoubted	ʌn'dautid
undoubting	'ʌn'dautiɳ
undraped	'ʌn'dreipt
undress	'ʌn'dres
undressed	'ʌn'drest
undried	'ʌn'draid
undrilled	'ʌn'drild
undrinkable	'ʌn'driɳkəbl
undue	'ʌn'dju:
undulate	'ʌndjuleit
undulating	'ʌndjuleitiɳ
undulation	,ʌndju'leiʃn
undulatory	'ʌndjulətəri
unduly	'ʌn'dju:li
undurable	'ʌn'djuərəbl
undutiful	'ʌn'dju:tiful
undutifulness	'ʌn'dju:tifulnis
undying	ʌn'daiiɳ
unearned	'ʌn'ə:nd
unearth	'ʌn'ə:θ
unearthly	'ʌn'ə:θli
uneasily	ʌn'i:zili
uneasiness	ʌn'i:zinis
uneasy	ʌn'i:zi
uneatable	'ʌn'i:təbl
uneaten	'ʌn'i:tn
unecclesiastic	'ʌni,kli:zi'æstik
uneclipsed	'ʌni'klipst
uneconomic	'ʌn,i:kə'nɔmik
unedge	'ʌn'edʤ
unedifying	'ʌn'edifaiiɳ
unedited	'ʌn'editid
uneducated	'ʌn'edjukeitid
uneffaced	'ʌni'feist
uneffected	'ʌni'lektid
unelected	'ʌni'fektid
uneliminated	'ʌni'limineitid
unelucidated	'ʌni'lu:sideitid
unemancipated	'ʌni'mænsipeitid
unembarrassed	'ʌnim'bærəst
unembodied	'ʌnim'bɔdid
unemotional	'ʌni'mouʃənl
unemphatic	'ʌnim'fætik
unemphatically	'ʌnim'fætikəli
unemployable	'ʌnim'plɔiəbl
unemployed	'ʌnim'plɔid
unemployment	'ʌnim'plɔimənt
unempowered	'ʌnim'pauəd
unenclosed	'ʌnin'kouzd
unencumbered	'ʌnin'kʌmbəd
unendangered	'ʌnin'deindʤəd
unending	ʌn'endiɳ
unendingness	ʌn'endiɳnis
unendorsed	'ʌnin'dɔ:st
unendowed	'ʌnin'daud
unendurable	'ʌnin'fɔ:səbl
unenforceable	'ʌnin'fɔ:səbl
unenforced	'ʌnin'fɔ:st
unenfranchised	'ʌnin'fræntʃaizd
unengaged	'ʌnin'geidʤd
unenjoyable	'ʌnin'dʤɔiəbl
unenlightened	'ʌnin'laitnd
unenrolled	'ʌnin'rould
unenslaved	'ʌnin'sleivd
unenterprising	'ʌn'entəpraiziɳ
unenterprisingness	'ʌn'entəpraiziɳnis
unentertaining	'ʌn,entə'teiniɳ
unentertainingness	'ʌn,entə'teiniɳnis
unenthusiastic	'ʌnin,θju:zi'æstik
unentitled	'ʌnin'taitld
unenumerated	'ʌni'nju:məreitid
unenviable	'ʌn'enviəbl
unenvied	'ʌn'envid
unenvying	'ʌn'enviiɳ
unequal	'ʌn'i:kwəl
unequalise	'ʌn'i:kwəlaiz
unequalize	'ʌn'i:kwəlaiz
unequalled	'ʌn'i:kwəld
unequipped	'ʌni'kwipt
unequitable	'ʌn'ekwitəbl
unequivocal	'ʌni'kwivəkəl
unequivocalness	'ʌni'kwivəklnis
uneradicated	'ʌni'rædikeitid
unerased	'ʌni'reizd
unerring	'ʌn'ə:riɳ
unerringness	'ʌn'ə:riɳnis
unescapable	'ʌnis'keipəbl
unesco	ju:'neskou
unescorted	'ʌnis'kɔ:tid
unespied	'ʌnis'paid
unessayed	'ʌne'seid
unessential	'ʌni'senʃəl
unestablished	'ʌnis'tæbliʃt
unestimable	'ʌn'estiməbl
unestimated	'ʌn'estimeitid
unestranged	'ʌnis'treindʤd
unethical	'ʌn'eθikəl
unevangelical	'ʌn,i:væn'dʤelikəl
unevaporated	'ʌni'væpəreitid
uneven	'ʌn'i:vən
unevenness	'ʌn'i:vnnis
uneventful	'ʌni'ventful
uneventfulness	'ʌni'ventfulnis
unexamined	'ʌnig'zæmind
unexampled	,ʌnig'zɑ:mpld
unexcelled	'ʌnik'seld
unexceptionable	,ʌnik'sepʃnəbl
unexceptionableness	,ʌnik'sepʃnəblnis
unexcised	'ʌnek'sɑizd
unexclusive	'ʌniks'klu:siv
unexcusable	'ʌniks'kju:zəbl
unexcusableness	'ʌniks'kju:zəblnis
unexecuted	'ʌn'eksikju:tid
unexemplified	'ʌnig'zemplifaid
unexercised	'ʌn'eksəsaizd
unexhausted	'ʌnig'zɔ:stid
unexpected	'ʌniks'pektid
unexpectedness	'ʌniks'pektidnis
unexpensive	'ʌniks'pensiv
unexperienced	'ʌniks'piəriənst
unexpiated	'ʌn'ekspieitid
unexpired	'ʌniks'paiəd
unexplainable	'ʌniks'pleinəbl
unexplained	'ʌniks'pleind
unexplicit	'ʌniks'plisit
unexploded	,ʌniks'ploudid
unexploited	'ʌniks'plɔitid
unexplored	,ʌniks'plɔ:d
unexposed	'ʌniks'pouzd
unexpounded	'ʌniks'paundid
unexpressed	'ʌniks'prest
unexpressible	,ʌniks'presəbl
unexpressive	'ʌniks'presiv
unexpurgated	'ʌn'ekspə:geitid
unextended	'ʌniks'tendid
unextinguishable	,ʌniks'tiɳgwiʃəbl
unextinguished	'ʌniks'tiɳgwiʃt
unface	'ʌn'feis
unfadable	'ʌn'feidəbl
unfading	ʌn'feidiɳ
unfadingness	ʌn'feidiɳnis
unfailing	ʌn'feiliɳ
unfailingness	ʌn'feiliɳnis
unfair	'ʌn'feə
unfairness	'ʌn'feənis
unfaithful	'ʌn'feiθful
unfaithfulness	'ʌn'feiθfulnis
unfaltering	ʌn'fɔ:ltəriɳ
unfamiliar	'ʌnfə'miljə
unfamiliarity	'ʌnfə,mili'æriti
unfashionable	'ʌn'fæʃnəbl
unfashionableness	'ʌn'fæʃnəblnis
unfashioned	'ʌn'fæʃnd
unfasten	'ʌn'fɑ:sn
unfathered	'ʌn'fɑ:ðəd
unfatherly	'ʌn'fɑ:ðəli
unfathomable	ʌn'fæðəməbl
unfathomableness	ʌn'fæðəməblnis
unfathomed	'ʌn'fæðəmd
unfavourable	'ʌn'feivərəbl
unfavourableness	'ʌn'feivərəblnis
unfeasible	'ʌn'fi:zəbl
unfeather	'ʌn'feðə
unfed	'ʌn'fed
unfeed	'ʌn'fi:d
unfeeling	ʌn'fi:liɳ
unfeelingness	ʌn'fi:liɳnis
unfeigned	ʌn'feind
unfeignedness	ʌn'feindnis
unfelt	'ʌn'felt
unfeminine	'ʌn'feminin
unfence	'ʌn'fens
unfermented	'ʌnfə:'mentid
unfertilized	'ʌn'fə:tilaizd
unfetter	'ʌn'fetə
unfettered	'ʌn'fetəd
unfeudalize	'ʌn'fju:dəlaiz
unfile	'ʌn'fail
unfilial	'ʌn'filjəl
unfilled	'ʌn'fild
unfilmed	'ʌn'filmd
unfiltered	'ʌn'filtəd
unfinished	'ʌn'finiʃt
unfit	'ʌn'fit
unfitness	'ʌn'fitnis
unfitted	ʌn'fitid
unfitting	'ʌn'fitiɳ
unfix	'ʌn'fiks
unfixed	ʌn'fikst
unflagging	ʌn'flægiɳ
unflattering	'ʌn'flætəriɳ
unflavoured	'ʌn'fleivəd
unfledged	'ʌn'fledʤd
unflinching	ʌn'flintʃiɳ
unflinchingness	ʌn'flintʃiɳnis
unflower	'ʌn'flauə
unfold	ʌn'fould
unforbearing	'ʌnfɔ:'beəriɳ
unforbidden	'ʌndə'bidn
unforced	'ʌn'fɔ:st
unfordable	'ʌn'fɔ:dəbl
unforeseeable	'ʌnfɔ:'si:əbl
unforeseeing	'ʌnfɔ:'si:iɳ
unforeseen	'ʌnfɔ:'si:n
unforgettable	'ʌnfə'getəbl
unforgivable	'ʌnfə'givəbl
unforgiven	'ʌnfə'givn
unforgiving	'ʌnfə'giviɳ
unforgivingness	'ʌnfə'giviɳnis
unforgotten	'ʌnfə'gɔtn
unformed	'ʌn'fɔ:md
unformulated	'ʌn'fɔ:mjuleitid
unfortified	'ʌn'fɔ:tifaid
unfortunate	ʌn'fɔ:tʃnit
unfounded	ʌn'faundid
unframe	'ʌn'freim
unframed	'ʌn'freimd
unfreezable	'ʌn'fri:zəbl
unfreeze	'ʌn'fri:z
unfrequent	ʌn'fri:kwənt
unfrequented	'ʌnfri'kwentid
unfriendliness	'ʌn'frendlinis
unfriendly	'ʌn'frendli
unfrock	'ʌn'frɔk
unfruitful	'ʌn'fru:tful
unfruitfulness	'ʌn'fru:tfulnis
unfulfilled	'ʌnfrul'fild
unfurl	ʌn'fə:l
unfurnished	'ʌn'fə:niʃt
unfuse	'ʌn'fju:z
ungainliness	ʌn'geinlinis
ungainly	ʌn'geinli
ungallant	'ɳn'gælənt
ungalvanized	'ʌn'gælvənaizd
ungarbled	'ʌn'gɑ:bld
ungarnered	'ʌn'gɑ:nəd
ungarnished	'ʌn'gɑ:niʃt
ungated	'ʌn'geitid
ungauged	'ʌn'geidʤd
ungear	'ʌn'giə
ungenerous	'ʌn'dʤenərəs
